Time (s),Channel 2 (V),Channel 1 (V)
-8.45E-05,2.943679477,3.330084158
-8.42E-05,2.94352129,3.330242344
-8.38E-05,2.94328401,3.330875092
-8.35E-05,2.942888543,3.330875092
-8.32E-05,2.942809449,3.331191466
-8.29E-05,2.942176702,3.331033279
-8.26E-05,2.941939421,3.330163251
-8.22E-05,2.941543954,3.330321438
-8.19E-05,2.941543954,3.330005064
-8.16E-05,2.942097608,3.329846877
-8.13E-05,2.941543954,3.329925971
-8.10E-05,2.940515739,3.330084158
-8.06E-05,2.939962085,3.330163251
-8.03E-05,2.939487524,3.329609597
-8.00E-05,2.937905655,3.32945141
-7.97E-05,2.937826562,3.329135036
-7.94E-05,2.937826562,3.328976849
-7.90E-05,2.937589281,3.328818662
-7.87E-05,2.93664016,3.328897756
-7.84E-05,2.93664016,3.32921413
-7.81E-05,2.935770132,3.329055943
-7.78E-05,2.935374665,3.32921413
-7.74E-05,2.934979197,3.328897756
-7.71E-05,2.934425543,3.328502288
-7.68E-05,2.934267356,3.328265008
-7.65E-05,2.933713702,3.327869541
-7.62E-05,2.932922767,3.327869541
-7.58E-05,2.933080954,3.32763226
-7.55E-05,2.932685487,3.327315887
-7.52E-05,2.931736366,3.327315887
-7.49E-05,2.931182711,3.327553167
-7.46E-05,2.931103618,3.326841326
-7.42E-05,2.930866338,3.329135036
-7.39E-05,2.929759029,3.358636895
-7.36E-05,2.929917216,3.370580007
-7.33E-05,2.929047188,3.376116548
-7.30E-05,2.928256254,3.388455127
-7.26E-05,2.927781693,3.398104529
-7.23E-05,2.926990758,3.404036538
-7.20E-05,2.926595291,3.403799258
-7.17E-05,2.926753478,3.402059202
-7.14E-05,2.925567076,3.398499996
-7.10E-05,2.925804356,3.392963454
-7.07E-05,2.925329796,3.387110539
-7.04E-05,2.925567076,3.380862156
-7.01E-05,2.924617955,3.374851053
-6.98E-05,2.923510646,3.36836539
-6.94E-05,2.922166058,3.363619783
-6.91E-05,2.922166058,3.359111456
-6.88E-05,2.921849684,2.894437407
-6.85E-05,2.920505095,3.246956936
-6.82E-05,2.919951441,3.305327906
-6.78E-05,2.919160506,3.297339467
-6.75E-05,2.919081413,3.280967122
-6.72E-05,2.918290478,3.267204861
-6.69E-05,2.917499544,3.260719197
-6.66E-05,2.917341357,3.25779274
-6.62E-05,2.91718317,3.257159992
-6.59E-05,2.916787703,3.258979141
-6.56E-05,2.916154955,3.262933814
-6.53E-05,2.915838581,3.268312169
-6.50E-05,2.91488946,3.273769618
-6.46E-05,2.914256712,3.279464346
-6.43E-05,2.913703058,3.283577206
-6.40E-05,2.913149404,3.287769159
-6.37E-05,2.912912123,3.290616523
-6.34E-05,2.912358469,3.293068421
-6.30E-05,2.912358469,3.294966664
-6.27E-05,2.911883908,3.295836692
-6.24E-05,2.911172067,3.296311252
-6.21E-05,2.910697507,3.295994878
-6.18E-05,2.911092974,3.296627626
-6.14E-05,2.909669292,3.296469439
-6.11E-05,2.909511105,3.296232159
-6.08E-05,2.908957451,3.29670672
-6.05E-05,2.909352918,3.297023093
-6.02E-05,2.909194731,3.296785813
-5.98E-05,2.907691955,3.296073972
-5.95E-05,2.907612862,3.29670672
-5.92E-05,2.907375581,3.296944
-5.89E-05,2.907059208,3.298130402
-5.86E-05,2.90618918,3.298525869
-5.82E-05,2.905872806,3.29923771
-5.79E-05,2.904290937,3.300028645
-5.76E-05,2.904211843,3.300661392
-5.73E-05,2.903895469,3.300898673
-5.70E-05,2.903500002,3.301689607
-5.66E-05,2.903262722,3.302401448
-5.63E-05,2.901680853,3.302955102
-5.60E-05,2.901522666,3.303271476
-5.57E-05,2.901918133,3.303983317
-5.54E-05,2.901127198,3.304220598
-5.50E-05,2.901127198,3.304774252
-5.47E-05,2.900336264,3.304536972
-5.44E-05,2.900098984,3.304932439
-5.41E-05,2.899228956,3.305565186
-5.38E-05,2.899387142,3.305407
-5.34E-05,2.898517114,3.305802467
-5.31E-05,2.898675301,3.306039747
-5.28E-05,2.898517114,3.306435214
-5.25E-05,2.897805273,3.307226149
-5.22E-05,2.897172526,3.307621616
-5.18E-05,2.896777058,3.308254364
-5.15E-05,2.896381591,3.308808018
-5.12E-05,2.89543247,3.308728925
-5.09E-05,2.894562442,3.309203485
-5.06E-05,2.894008788,3.309124392
-5.02E-05,2.894087881,3.309282579
-4.99E-05,2.89313876,3.308966205
-4.96E-05,2.892268732,3.310310794
-4.93E-05,2.891952358,3.310864448
-4.90E-05,2.891952358,3.310627168
-4.86E-05,2.89155689,3.310627168
-4.83E-05,2.890686862,3.310785355
-4.80E-05,2.890528675,3.311259915
-4.77E-05,2.890212302,3.311022635
-4.74E-05,2.889579554,3.311259915
-4.70E-05,2.8890259,3.311655383
-4.67E-05,2.888788619,3.312209037
-4.64E-05,2.888314059,3.312604504
-4.61E-05,2.887760405,3.313079065
-4.58E-05,2.887127657,3.312920878
-4.54E-05,2.886653096,3.312920878
-4.51E-05,2.885941255,3.313474532
-4.48E-05,2.885387601,3.313949093
-4.45E-05,2.884992134,3.313869999
-4.42E-05,2.885545788,3.314423653
-4.38E-05,2.884438479,3.314977308
-4.35E-05,2.883568451,3.315056401
-4.32E-05,2.882935704,3.314977308
-4.29E-05,2.882935704,3.314660934
-4.26E-05,2.882540237,3.315530962
-4.22E-05,2.881907489,3.315135495
-4.19E-05,2.881907489,3.315293681
-4.16E-05,2.880721087,3.315610055
